epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,271.361,1.05376,3.36699,1.4786,0.00406,0.75,0.50437,0.44912,0.72283,4.09813,1.60296,8.574e-05,8.574e-05,8.574e-05
2,605.235,0.78598,2.58386,1.31484,0.00856,1,0.995,0.80845,0.59781,3.47828,1.11406,0.000183931,0.000183931,0.000183931
3,851.697,0.66396,1.71593,1.173,0.95228,0.5,0.995,0.85824,0.50106,3.05422,1.07966,0.000280141,0.000280141,0.000280141
4,1096.48,0.67869,1.39402,1.16874,0.87277,0.95176,0.995,0.94525,0.53616,2.69049,1.02409,0.000374371,0.000374371,0.000374371
5,1330.65,0.70617,1.32622,1.14793,0.96291,1,0.995,0.858,0.53047,2.64455,1.06864,0.00046662,0.00046662,0.00046662
6,1583.17,0.70739,1.2575,1.15057,0.95751,0.98619,0.995,0.84559,0.73354,2.1895,1.1166,0.000556888,0.000556888,0.000556888
7,1839.17,0.69179,1.20692,1.13101,0.87229,1,0.995,0.80843,0.86765,2.43363,1.19467,0.000645176,0.000645176,0.000645176
8,2073.85,0.68,1.1154,1.13229,0.84877,0.97827,0.995,0.9203,0.56963,2.00304,1.14631,0.000731484,0.000731484,0.000731484
9,2302.15,0.7106,1.12584,1.1311,0.87534,0.9653,0.995,0.80842,0.79808,2.2487,1.20626,0.00081581,0.00081581,0.00081581
10,2525.52,0.62236,1.04583,1.06701,0.85604,0.98481,0.995,0.88296,0.62236,1.53628,1.07938,0.000898157,0.000898157,0.000898157
11,2742.64,0.61227,0.94004,1.05999,0.91015,1,0.995,0.8955,0.60912,1.53972,1.0764,0.000978522,0.000978522,0.000978522
12,2957.85,0.65217,1.03302,1.0869,0.95669,1,0.995,0.84556,0.71307,1.54593,1.0928,0.00105691,0.00105691,0.00105691
13,3177.95,0.67636,0.95669,1.09839,0.9222,1,0.995,0.82082,0.69666,1.63978,1.09573,0.00113331,0.00113331,0.00113331
14,3400.48,0.64496,0.91872,1.10449,0.89963,0.98936,0.995,0.89532,0.61117,1.3046,1.10275,0.00120774,0.00120774,0.00120774
15,3620.59,0.64642,0.89524,1.08868,0.90212,1,0.995,0.84557,0.72282,1.72981,1.07986,0.00123094,0.00123094,0.00123094
16,3841.41,0.68881,0.86538,1.12187,0.9789,1,0.995,0.87053,0.64311,1.28185,1.08919,0.00121679,0.00121679,0.00121679
17,4063.18,0.7263,0.89439,1.10875,0.94864,1,0.995,0.90791,0.56415,1.20574,0.9633,0.00120265,0.00120265,0.00120265
18,4282.9,0.65373,0.83201,1.07084,0.98154,1,0.995,0.77065,0.81272,1.39716,1.18066,0.0011885,0.0011885,0.0011885
19,4511.16,0.6376,0.73722,1.0504,0.96567,1,0.995,0.82061,0.75806,1.07589,1.18387,0.00117435,0.00117435,0.00117435
20,4744.81,0.64022,0.78456,1.07441,0.97027,1,0.995,0.75852,0.77044,1.15416,1.10819,0.00116021,0.00116021,0.00116021
21,4979.11,0.66004,0.83725,1.0817,0.98083,1,0.995,0.94525,0.42626,0.84859,0.94122,0.00114606,0.00114606,0.00114606
22,5195.72,0.61716,0.75298,1.04662,0.98158,1,0.995,0.87057,0.55514,0.89365,0.98255,0.00113191,0.00113191,0.00113191
23,5422.42,0.59324,0.69573,1.05185,0.98146,1,0.995,0.95766,0.4155,0.8377,0.93234,0.00111776,0.00111776,0.00111776
24,5648.09,0.61945,0.67435,1.05637,0.98019,1,0.995,0.92032,0.47428,0.89149,1.06063,0.00110362,0.00110362,0.00110362
25,5865.38,0.61987,0.67163,1.07972,0.97711,1,0.995,0.94507,0.56476,0.89313,1.02292,0.00108947,0.00108947,0.00108947
26,6087.25,0.61159,0.69635,1.05876,0.95428,1,0.995,0.90791,0.38012,0.68264,0.89989,0.00107532,0.00107532,0.00107532
27,6311.48,0.60382,0.6587,1.05389,0.96849,1,0.995,0.87057,0.58261,0.6891,1.00188,0.00106118,0.00106118,0.00106118
28,6536.21,0.63277,0.64548,1.0954,0.96191,1,0.995,0.92028,0.42808,0.71447,0.94169,0.00104703,0.00104703,0.00104703
29,6757.86,0.59431,0.63665,1.03594,0.96848,1,0.995,0.90773,0.45313,0.68785,0.95649,0.00103288,0.00103288,0.00103288
30,6979.5,0.54215,0.59981,1.04317,0.94134,1,0.995,0.90791,0.42623,0.68491,0.92378,0.00101873,0.00101873,0.00101873
31,7208.63,0.57713,0.65223,1.05165,0.95884,1,0.995,0.94525,0.413,0.66274,0.94423,0.00100459,0.00100459,0.00100459
32,7432.97,0.56026,0.58421,1.04028,0.97435,1,0.995,0.94525,0.46083,0.56579,0.96159,0.00099044,0.00099044,0.00099044
33,7662.98,0.55396,0.55478,1.0378,0.95991,1,0.995,0.8955,0.459,0.66578,0.9661,0.000976293,0.000976293,0.000976293
34,7896.21,0.57007,0.6592,1.04681,0.96791,1,0.995,0.9203,0.47408,0.49419,0.95995,0.000962146,0.000962146,0.000962146
35,8126.62,0.50401,0.53551,1.00069,0.97859,1,0.995,0.90796,0.45757,0.47088,0.91464,0.000947999,0.000947999,0.000947999
36,8351.44,0.56271,0.57731,1.04503,0.97459,1,0.995,0.90795,0.50239,0.5481,0.94937,0.000933851,0.000933851,0.000933851
37,8578.55,0.5344,0.55789,1.02767,0.97785,1,0.995,0.90799,0.5466,0.53274,0.96571,0.000919704,0.000919704,0.000919704
38,8816.04,0.50721,0.50854,0.99452,0.97534,1,0.995,0.97021,0.39973,0.46576,0.90835,0.000905557,0.000905557,0.000905557
39,9052.55,0.55065,0.51262,1.03782,0.97399,1,0.995,0.92045,0.54625,0.4959,0.9487,0.00089141,0.00089141,0.00089141
40,9276.12,0.50569,0.5481,1.0122,0.97762,1,0.995,0.89554,0.42401,0.45329,0.97211,0.000877263,0.000877263,0.000877263
41,9498.54,0.55713,0.51612,1.02345,0.97356,1,0.995,0.89547,0.45148,0.46678,0.95958,0.000863116,0.000863116,0.000863116
42,9739.22,0.50933,0.49364,0.99149,0.97851,1,0.995,0.94525,0.40314,0.41538,0.90628,0.000848969,0.000848969,0.000848969
43,9967.9,0.52134,0.49469,1.00324,0.98178,1,0.995,0.97017,0.34753,0.40052,0.87342,0.000834822,0.000834822,0.000834822
44,10216.7,0.50782,0.48643,1.00171,0.98123,1,0.995,0.97019,0.34299,0.44742,0.88084,0.000820675,0.000820675,0.000820675
45,10458.4,0.50157,0.50822,1.00985,0.97884,1,0.995,0.92044,0.47924,0.47414,0.91463,0.000806528,0.000806528,0.000806528
46,10718.8,0.50909,0.49009,1.01083,0.97894,1,0.995,0.92047,0.43053,0.43509,0.91848,0.00079238,0.00079238,0.00079238
47,10964.4,0.50655,0.48817,0.98918,0.98209,1,0.995,0.92046,0.45341,0.44029,0.91277,0.000778233,0.000778233,0.000778233
48,11205.4,0.54023,0.5245,1.02648,0.97777,1,0.995,0.94525,0.38425,0.4257,0.88804,0.000764086,0.000764086,0.000764086
49,11450,0.49187,0.47448,1.00681,0.97548,1,0.995,0.94525,0.44727,0.43463,0.91657,0.000749939,0.000749939,0.000749939
50,11702.7,0.45752,0.45363,0.99235,0.97181,1,0.995,0.94525,0.53736,0.48484,0.96196,0.000735792,0.000735792,0.000735792
51,11934.5,0.49173,0.45177,0.99168,0.97754,1,0.995,0.90903,0.46589,0.46591,0.91131,0.000721645,0.000721645,0.000721645
52,12175.1,0.49315,0.44356,0.99801,0.97629,1,0.995,0.95833,0.36616,0.37204,0.88729,0.000707498,0.000707498,0.000707498
53,12430.9,0.47916,0.45532,1.00455,0.97207,1,0.995,0.92092,0.404,0.40193,0.90913,0.000693351,0.000693351,0.000693351
54,12691.1,0.44732,0.44521,0.98251,0.97835,1,0.995,0.8955,0.55319,0.44511,0.94843,0.000679204,0.000679204,0.000679204
55,12930.7,0.46673,0.45816,0.97727,0.97726,1,0.995,0.8955,0.46108,0.38261,0.91356,0.000665057,0.000665057,0.000665057
56,13184.1,0.4417,0.40566,0.9497,0.97128,1,0.995,0.94525,0.40238,0.35173,0.88632,0.000650909,0.000650909,0.000650909
57,13429.3,0.46495,0.43194,0.97956,0.97111,1,0.995,0.94525,0.40329,0.36029,0.89001,0.000636762,0.000636762,0.000636762
58,13683.3,0.45224,0.4387,0.96972,0.97032,1,0.995,0.92131,0.38382,0.33307,0.89193,0.000622615,0.000622615,0.000622615
59,13914.5,0.47449,0.44456,0.99234,0.97128,1,0.995,0.92086,0.42321,0.34609,0.89934,0.000608468,0.000608468,0.000608468
60,14158.9,0.43084,0.40175,0.95978,0.98,1,0.995,0.92074,0.35978,0.3906,0.89573,0.000594321,0.000594321,0.000594321
61,14412.8,0.4156,0.39104,0.94466,0.97762,1,0.995,0.97042,0.37406,0.408,0.89288,0.000580174,0.000580174,0.000580174
62,14649.6,0.44834,0.40216,0.97627,0.97969,1,0.995,0.94525,0.37535,0.37231,0.89994,0.000566027,0.000566027,0.000566027
63,14889.1,0.44117,0.43614,0.97994,0.982,1,0.995,0.94525,0.40456,0.34438,0.89234,0.00055188,0.00055188,0.00055188
64,15131,0.4318,0.41811,0.95692,0.98133,1,0.995,0.94525,0.37641,0.34881,0.86543,0.000537733,0.000537733,0.000537733
65,15374.8,0.45795,0.39458,0.96572,0.97451,1,0.995,0.97075,0.25675,0.29574,0.85014,0.000523586,0.000523586,0.000523586
66,15625.3,0.44322,0.4471,0.96073,0.9777,1,0.995,0.9583,0.29738,0.30804,0.85853,0.000509438,0.000509438,0.000509438
67,15866.9,0.42935,0.40334,0.95811,0.98154,1,0.995,0.90848,0.37244,0.32914,0.86963,0.000495291,0.000495291,0.000495291
68,16120.8,0.42992,0.40275,0.96336,0.97765,1,0.995,0.94525,0.38067,0.31712,0.87863,0.000481144,0.000481144,0.000481144
69,16380.9,0.44395,0.37922,0.97893,0.97503,1,0.995,0.92184,0.42602,0.34003,0.88973,0.000466997,0.000466997,0.000466997
70,16629,0.41453,0.36784,0.9427,0.97892,1,0.995,0.97182,0.32244,0.33418,0.87137,0.00045285,0.00045285,0.00045285
71,16870.9,0.40799,0.37535,0.94886,0.96396,1,0.995,0.94722,0.35486,0.33161,0.90397,0.000438703,0.000438703,0.000438703
72,17119.8,0.38677,0.35034,0.92721,0.98139,1,0.995,0.94525,0.37027,0.30414,0.87582,0.000424556,0.000424556,0.000424556
73,17367.8,0.40401,0.37099,0.95784,0.97287,1,0.995,0.97106,0.38603,0.30215,0.87694,0.000410409,0.000410409,0.000410409
74,17619.2,0.39065,0.3456,0.95676,0.97238,1,0.995,0.97106,0.33961,0.27536,0.86849,0.000396262,0.000396262,0.000396262
75,17872.1,0.39237,0.3593,0.93854,0.97577,1,0.995,0.94525,0.32666,0.30702,0.86938,0.000382115,0.000382115,0.000382115
76,18136.5,0.40571,0.36749,0.95143,0.97617,1,0.995,0.94525,0.29343,0.29918,0.8637,0.000367967,0.000367967,0.000367967
